"KEGG","OTHERID"
"mmu:100384868","NP_001167625"
"mmu:100415785","NP_001170955"
"mmu:100416706","NP_001156718"
"mmu:100417514","NP_001357786"
"mmu:100434","NP_598652"
"mmu:100463512","NP_001177661"
"mmu:100465","NP_780517"
"mmu:100470","NP_598653"
"mmu:100494","NP_001153380"
"mmu:100502590","NP_001182118"
"mmu:100502592","XP_003084700"
"mmu:100502698","NP_001186967"
"mmu:100502723","NP_068698"
"mmu:100502736","NP_001257418"
"mmu:100502766","NP_001182227"
"mmu:100502803","NP_001171008"
"mmu:100502825","NP_001258519"
"mmu:100502831","NP_001191961"
"mmu:100502841","NP_001182562"
"mmu:100502846","NP_001357773"
"mmu:100502861","NP_082660"
"mmu:100502865","NP_001182312"
"mmu:100502876","NP_001182003"
"mmu:100502880","XP_017171169"
"mmu:100502887","NP_001011861"
"mmu:100502896","NP_001264441"
"mmu:100502921","NP_001191964"
"mmu:100502924","NP_001243410"
"mmu:100502936","NP_001188319"
"mmu:100502940","NP_001182610"
"mmu:100502941","XP_017171151"
"mmu:100502950","NP_001182182"
"mmu:100502953","NP_001191962"
"mmu:100502955","XP_017171143"
"mmu:100502967","NP_001268440"
"mmu:100503000","XP_030109836"
"mmu:100503036","NP_001182530"
"mmu:100503041","NP_001182194"
"mmu:100503043","NP_001189429"
"mmu:100503047","XP_003085633"
"mmu:100503085","NP_001349344"
"mmu:100503185","NP_001242920"
"mmu:100503240","NP_001182508"
"mmu:100503242","XP_003084726"
"mmu:100503280","NP_001238819"
"mmu:100503311","NP_083880"
"mmu:100503353","NP_001186237"
"mmu:100503355","NP_001191837"
"mmu:100503361","NP_001182639"
"mmu:100503368","XP_030103398"
"mmu:100503386","NP_001182458"
"mmu:100503388","NP_001191963"
"mmu:100503481","NP_001238942"
"mmu:100503486","NP_997022"
"mmu:100503545","NP_001182603"
"mmu:100503549","NP_001268443"
"mmu:100503572","NP_001182267"
"mmu:100503583","NP_001243071"
"mmu:100503584","NP_001120660"
"mmu:100503605","NP_001188320"
"mmu:100503609","NP_001333971"
"mmu:100503659","NP_001182197"
"mmu:100503670","NP_058676"
"mmu:100503710","NP_001182460"
"mmu:100503733","XP_003085695"
"mmu:100503879","NP_001182656"
"mmu:100503884","NP_001242988"
"mmu:100503890","NP_001182173"
"mmu:100503895","NP_112464"
"mmu:100503915","NP_001182466"
"mmu:100503923","XP_017174378"
"mmu:100503924","NP_001344590"
"mmu:100503949","NP_001229873"
"mmu:100503964","NP_001357848"
"mmu:100503970","NP_001012658"
"mmu:100503991","NP_001181963"
"mmu:100503992","NP_001020524"
"mmu:100504014","NP_001170942"
"mmu:100504112","NP_001182020"
"mmu:100504116","NP_001347719"
"mmu:100504156","NP_001182655"
"mmu:100504162","NP_001180560"
"mmu:100504164","NP_871790"
"mmu:100504180","XP_003084927"
"mmu:100504183","NP_001242986"
"mmu:100504195","NP_081863"
"mmu:100504200","XP_003085040"
"mmu:100504221","NP_001357845"
"mmu:100504232","NP_001191940"
"mmu:100504234","NP_001182601"
"mmu:100504239","NP_001180597"
"mmu:100504263","NP_001292065"
"mmu:100504285","NP_001181962"
"mmu:100504292","XP_003085347"
"mmu:100504309","NP_001336022"
"mmu:100504323","NP_001191842"
"mmu:100504346","NP_001180595"
"mmu:100504362","NP_001180596"
"mmu:100504400","NP_001177961"
"mmu:100504404","NP_034511"
"mmu:100504429","NP_001229931"
"mmu:100504444","XP_011243611"
"mmu:100504446","NP_001182602"
"mmu:100504474","NP_001182525"
"mmu:100504491","NP_001182659"
"mmu:100504518","NP_001182026"
"mmu:100504608","NP_001191965"
"mmu:100504642","XP_011249409"
"mmu:100504652","XP_003084636"
"mmu:100504663","NP_766187"
"mmu:100504689","NP_001182622"
"mmu:100504710","NP_001188318"
"mmu:100504715","NP_001186931"
"mmu:100505096","NP_001257484"
"mmu:100505386","NP_001106890"
"mmu:100505397","XP_011247917"
"mmu:100515","NP_001074613"
"mmu:100529082","NP_001186896"
"mmu:100532","NP_666035"
"mmu:100534273","NP_001264005"
"mmu:100534287","NP_001344094"
"mmu:100534296","NP_001349050"
"mmu:100535","NP_598654"
"mmu:100554","NP_849225"
"mmu:100559","NP_598655"
"mmu:100561","NP_598656"
"mmu:100604","NP_598658"
"mmu:100608","NP_705798"
