Input ID	IDsource	Output ID	source of the output ID
C00902	KEGG	2492-75-3	CAS registry number
C00903	KEGG	104-55-2	CAS registry number
C00906	KEGG	696-04-8	CAS registry number
C00908	KEGG	26098-04-4	CAS registry number
C00909	KEGG	72059-45-1	CAS registry number
C00913	KEGG	5142-23-4	CAS registry number
C00915	KEGG	13096-46-3	CAS registry number
C00916	KEGG	61-24-5	CAS registry number
C00918	KEGG	56-75-7	CAS registry number
C00919	KEGG	4858-96-2	CAS registry number
C00920	KEGG	6477-52-7	CAS registry number
C00922	KEGG	488-21-1	CAS registry number
C00925	KEGG	9050-30-0	CAS registry number
C00928	KEGG	60-24-2	CAS registry number
C00931	KEGG	487-90-1	CAS registry number
C00933	KEGG	18696-26-9	CAS registry number
C00936	KEGG	3458-28-4	CAS registry number
C00939	KEGG	2096-10-8	CAS registry number
C00940	KEGG	18465-19-5	CAS registry number
C00941	KEGG	3616-08-8	CAS registry number
C00942	KEGG	7665-99-8	CAS registry number
C00946	KEGG	130-49-4	CAS registry number
C00949	KEGG	9048-78-6	CAS registry number
C00950	KEGG	6892-68-8	CAS registry number
C00951	KEGG	50-28-2	CAS registry number
C00952	KEGG	25422-31-5	CAS registry number
C00954	KEGG	87-51-4	CAS registry number
C00955	KEGG	526-55-6	CAS registry number
C00956	KEGG	542-32-5	CAS registry number
C00957	KEGG	2464-23-5	CAS registry number
C00959	KEGG	13345-51-2	CAS registry number
C00961	KEGG	10048-13-2	CAS registry number
C00962	KEGG	7296-64-2	CAS registry number
C00969	KEGG	2134-29-4	CAS registry number
C00971	KEGG	4753-19-9	CAS registry number
C00974	KEGG	480-20-6	CAS registry number
C00975	KEGG	133-38-0	CAS registry number
C00977	KEGG	20696-57-5	CAS registry number
C00978	KEGG	1210-83-9	CAS registry number
C00979	KEGG	5147-00-2	CAS registry number
C00984	KEGG	3646-73-9	CAS registry number
C00986	KEGG	109-76-2	CAS registry number
C00989	KEGG	591-81-1	CAS registry number
C00992	KEGG	13422-52-1	CAS registry number
C00993	KEGG	923-16-0	CAS registry number
